"country_code","region_code","city","time_zone"
"IR",21,"Shahr","Asia/Tehran"
"IR",30,"Shadman","Asia/Tehran"
"IR",31,"Jahan","Asia/Tehran"
"IR",28,"Kaman","Asia/Tehran"
"IR",24,"Samen","Asia/Tehran"
"IR",3,"Borran-e Bala","Asia/Tehran"
"IR",1,"Shahrak-e Milad","Asia/Tehran"
"IR",2,"Post","Asia/Tehran"
"IR",2,"Band","Asia/Tehran"
"IR",22,"Baharan","Asia/Tehran"
"IR",17,"Shahrak-e Direh","Asia/Tehran"
"IR",30,"Golriz","Asia/Tehran"
"IR",5,"Shahid Madani","Asia/Tehran"
"IR",29,"Chah Deraz","Asia/Tehran"
"IR",30,"Razaviyeh","Asia/Tehran"
"IR",30,"Kabir","Asia/Tehran"
"IR",21,"Gilas","Asia/Tehran"
"IR",30,"Farsi","Asia/Tehran"
"IR",1,"Hadishahr","Asia/Tehran"
"IR",1,"Arnan","Asia/Tehran"
"IR",24,"Gostar","Asia/Tehran"
"IR",3,"Zahra","Asia/Tehran"
"IR",12,"Moghan","Asia/Tehran"
"IR",27,"Dadeh Owlum","Asia/Tehran"
"IR",10,"Taha","Asia/Tehran"
"RW",,,"Africa/Kigali"
"SO",,,"Africa/Mogadishu"
"SO","BN","Mogadishu","Africa/Mogadishu"
"SO","WO","Hargeysa","Africa/Mogadishu"
"IR",18,"Yasuj","Asia/Tehran"
"IR",4,"Vaj","Asia/Tehran"
"IR",10,"Piruz","Asia/Tehran"
"YE",,,"Asia/Aden"
"YE","HD","Sana'","Asia/Aden"
"YE","SN","Sanaa","Asia/Aden"
"LY","BA","Benghazi","Africa/Tripoli"
"IQ","DA","Zakho","Asia/Baghdad"
"IQ","SD","Tikrit","Asia/Baghdad"
"IQ","AN","Sulaymaniyah","Asia/Baghdad"
"IQ","BA","Manawi","Asia/Baghdad"
"IQ","TS","Kirkuk","Asia/Baghdad"
"IQ","AR","Erbil","Asia/Baghdad"
"IQ","AR","Hayat","Asia/Baghdad"
"IQ","DI","Haji Hasan","Asia/Baghdad"
"IQ","DA","Dihawk","Asia/Baghdad"
"IQ","SU","Basere","Asia/Baghdad"
"IQ","DQ","Bahr","Asia/Baghdad"
"IQ","BG","Baghdad","Asia/Baghdad"
"IQ","NA","Najaf","Asia/Baghdad"
"IQ","NI","Mosul","Asia/Baghdad"
"IQ",,,"Asia/Baghdad"
"IQ","BB","Al Hillah","Asia/Baghdad"
"IQ","BA","Basra","Asia/Baghdad"
"IQ","MA","Al `Amarah","Asia/Baghdad"
"SA",3,"Yanbu` al Bahr","Asia/Riyadh"
"SA",,"At Tuwal","Asia/Riyadh"
"SA",7,"Tabuk","Asia/Riyadh"
"SA",4,"Sayhat","Asia/Riyadh"
"SA",,,"Asia/Riyadh"
"SA",,"Sambah","Asia/Riyadh"
"SA",12,"Sakaka","Asia/Riyadh"
"SA",4,"Safwa","Asia/Riyadh"
"SA",9,"Sabya","Asia/Riyadh"
"SA",4,"Ras Tanura","Asia/Riyadh"
"SA",4,"Ra's al Khafji","Asia/Riyadh"
"SA",,"Ramdah","Asia/Riyadh"
"SA",4,"Rahimah","Asia/Riyadh"
"SA",2,"Rabigh","Asia/Riyadh"
"SA",10,"Najran","Asia/Riyadh"
"SA",2,"Mina","Asia/Riyadh"
